X,Y,H,E,S2P,phase_angle,HE
71229.234,27219.068,9.08538,76.380356,917.9519,-0.39522076,0.11894917
71229.234,27219.545,6.0399714,53.483185,722.45654,-0.3453932,0.11293215
71229.234,27220.068,4.374297,70.33694,1670.9641,3.1398163,0.06219061
71229.234,27220.545,6.5184455,93.310905,1829.0769,6.7191415,0.06985728
71229.234,27221.068,1.1862775,12.629262,310.43985,5.5980325,0.09393086
71229.234,27221.545,5.3914175,57.209934,909.0103,0.76487356,0.09423918
71229.234,27222.068,8.173696,67.83791,824.8115,-0.38822332,0.12048861
71229.234,27222.545,7.109291,61.64982,795.1607,-0.25491694,0.11531731
71229.234,27223.068,3.431333,33.709183,548.6541,0.40608245,0.10179224
71229.234,27223.545,7.4700804,103.71712,1920.7975,0.8283716,0.0720236
71229.234,27224.068,2.8941996,37.66309,809.9788,5.543592,0.076844454
71229.234,27224.545,8.4613085,94.181274,1421.8429,0.62686694,0.089840665
71229.234,27225.07,9.217087,75.120865,880.2078,-0.55369014,0.12269676
71229.234,27225.545,8.379402,64.97944,749.04297,-0.246478,0.12895466
71229.234,27226.07,0.8942132,8.632099,527.22766,55.650047,0.10359163
71229.234,27226.545,0.9940802,11.31159,-321.7808,13.433826,0.08788156
71229.234,27227.07,2.3284419,18.177204,278.13095,-0.014314382,0.1280968
71228.71,27226.545,8.139836,145.77922,2831.5015,0.17566459,0.05583674
71228.71,27226.07,8.424724,168.88774,3533.231,0.47368923,0.04988357
71228.71,27225.545,0.2739581,45.085583,3311.1938,9.199922,0.006076401
71228.71,27225.07,13.482985,135.36696,1520.1813,-0.3361914,0.09960321
71228.71,27224.545,2.2601452,33.44684,601.79474,1.0547162,0.067574255
71228.71,27224.068,1.3538826,22.891123,445.12143,0.4025712,0.059144437
71228.71,27222.545,9.845692,81.51602,814.3489,-0.13212454,0.120782286
71228.71,27222.068,8.622865,76.970604,835.281,-0.4316687,0.112028025
71228.71,27221.068,2.3162289,31.659147,530.1399,0.5416463,0.073161446
71228.71,27220.545,1.2417922,36.886898,1142.8373,0.8925352,0.03366486
71228.71,27220.068,1.7785766,60.125366,2147.774,1.9222114,0.029581135
71228.71,27219.068,8.9074745,76.35843,795.797,-0.36809748,0.11665346
71228.71,27218.545,6.21996,61.006226,741.5688,-0.18100394,0.10195616
71228.71,27218.068,0.7023543,4.9410095,18.27501,1.9284797,0.14214794
71228.71,27217.545,6.2039413,71.86467,1016.4337,0.16823292,0.08632811
71228.71,27217.068,8.930706,99.74116,1312.3342,-0.20493641,0.08953883
71228.71,27216.545,7.723721,89.38052,1235.2543,3.8575213,0.08641391
71228.71,27216.068,8.818203,93.52118,1179.5393,0.5640383,0.09429097
71228.71,27215.545,7.840442,74.80738,870.65796,-0.5082492,0.104808405
71228.71,27215.068,7.313914,81.64764,1100.5833,-0.15612645,0.089579
71228.71,27214.545,0.1956737,16.007729,602.9492,0.36094,0.012223702
71228.71,27214.068,12.344005,109.68293,1131.8329,-0.5108335,0.11254262
71228.71,27213.545,7.7471576,99.28674,1494.8448,1.0658363,0.07802812
71228.71,27213.068,6.0856595,82.83983,1349.9033,5.8629785,0.07346296
71228.71,27212.545,8.096489,79.99468,957.746,0.0151847135,0.10121284
71228.234,27212.545,8.160648,71.37766,918.8311,-0.32024178,0.11433056
71228.234,27213.068,5.008335,46.3445,699.44025,0.30672064,0.10806751
71228.234,27213.545,9.762025,139.4867,2543.9421,0.9407334,0.069985345
71228.234,27214.068,1.4903651,14.063426,434.6801,3.4951377,0.10597454
71228.234,27214.545,6.247707,47.4792,579.3941,9.811938,0.1315883
71228.234,27215.068,8.228925,74.075516,974.1925,0.3520047,0.11108832
71228.234,27215.545,7.5330606,66.97492,889.44934,-0.2743712,0.11247584
71228.234,27216.068,9.141451,84.794655,1115.2494,0.49511823,0.10780692
71228.234,27216.545,2.8733444,60.962982,2522.498,3.5385318,0.047132608
71228.234,27217.068,6.847286,77.40712,1285.8926,9.43923,0.08845809
71228.234,27217.545,5.622089,51.790012,757.2934,0.33593267,0.108555466
71228.234,27218.068,6.3481746,99.70465,2244.2285,5.5376754,0.06366979
71228.234,27218.545,16.420336,140.40044,1496.588,-0.5778336,0.1169536
71228.234,27219.068,7.306184,106.95497,2173.0325,0.2419398,0.06831084
71228.234,27219.545,4.75608,46.417355,743.3329,0.65926695,0.1024634
71228.234,27220.068,6.8374577,92.12632,1778.9824,5.627765,0.07421829
71228.234,27220.545,10.457231,81.693665,910.42303,0.3624164,0.1280054
71228.234,27221.068,7.9240623,76.57991,1076.5948,2.1772668,0.10347442
71228.234,27221.545,7.1463995,77.55121,1231.1135,-0.31396908,0.09215072
71228.234,27222.068,9.679682,108.14081,1628.2253,-0.29713136,0.08950998
71228.234,27222.545,2.4484122,26.933035,611.5865,1.6095512,0.0909074
71228.234,27223.068,2.7032034,68.43459,3525.0828,4.5546865,0.039500542
71228.234,27223.545,7.0603366,127.17811,3100.5107,1.8218155,0.055515345
71228.234,27224.068,4.065632,49.861385,1028.7023,1.7435378,0.081538685
71228.234,27224.545,7.3126783,73.63441,1091.4572,-0.018971898,0.099310614
71228.234,27225.07,5.5812893,71.41962,1395.4,0.28196213,0.07814784
71228.234,27225.545,3.9026453,44.87141,882.47473,2.4721463,0.08697399
71228.234,27226.07,5.464284,100.79131,2740.5442,4.8336163,0.054213837
71228.234,27226.545,1.6432209,24.549059,1208.6984,-0.6033216,0.06693621
71228.234,27227.07,3.0836914,25.052408,387.41577,10.038816,0.12308962
71227.71,27227.07,7.855049,144.27098,2601.5112,2.9156044,0.054446496
71227.71,27226.545,2.7958934,49.387894,851.9205,-0.007133513,0.056610905
71227.71,27226.07,9.251959,102.34879,1186.2949,-0.09552281,0.09039637
71227.71,27225.545,7.003701,94.41321,1334.3857,2.4786239,0.07418137
71227.71,27224.068,16.541283,150.95468,1363.9446,-0.09031154,0.109577805
71227.71,27223.068,2.1318986,54.046856,1221.5664,-0.31271642,0.039445378
71227.71,27222.545,6.150839,100.548836,1689.567,1.0151412,0.061172653
71227.71,27222.068,7.3228397,84.07411,1020.3217,0.123089515,0.08709982
71227.71,27221.545,5.6400414,59.198483,647.5414,-0.10392696,0.09527341
71227.71,27221.068,6.86392,88.37361,1198.495,0.60290265,0.077669345
71227.71,27220.545,3.4236252,32.279713,274.15604,0.4135849,0.106061205
71227.71,27220.068,11.508789,81.53315,576.042,-0.38974717,0.14115472
71227.71,27219.545,7.0087233,92.41281,1280.1532,1.0374749,0.07584147
71227.71,27219.068,7.2271414,96.68269,1355.1266,2.009503,0.07475114
71227.71,27218.545,6.5627117,61.672657,600.11926,-0.23381683,0.106412016
